ID|Key|Raw|UserID|RecordedAt|Weight.KGs|BMI.BMI|BMI.Description|BMI.Glyph|Note
|||100|2024-08-09T00:00:00.000000+00:00|145||||Imported Weight:145.00 kg Loss:0.00 kg
|||100|2024-08-16T00:00:00.000000+00:00|141.1||||Imported Weight:141.10 kg Loss:3.90 kg
|||100|2024-08-23T00:00:00.000000+00:00|141.1||||Imported Weight:141.10 kg Loss:0.00 kg
|||100|2024-08-30T00:00:00.000000+00:00|138.5||||Imported Weight:138.50 kg Loss:2.60 kg
|||100|2024-09-06T00:00:00.000000+00:00|137.7||||Imported Weight:137.70 kg Loss:0.80 kg
|||100|2024-09-13T00:00:00.000000+00:00|136.67||||Imported Weight:136.67 kg Loss:1.03 kg
|||100|2024-09-20T00:00:00.000000+00:00|135.5||||Imported Weight:135.50 kg Loss:1.17 kg
|||100|2024-09-27T00:00:00.000000+00:00|134.7||||Imported Weight:134.70 kg Loss:0.80 kg
|||100|2024-10-04T00:00:00.000000+00:00|133.5||||Imported Weight:133.50 kg Loss:1.20 kg
|||100|2024-10-11T00:00:00.000000+00:00|133.5||||Imported Weight:133.50 kg Loss:0.00 kg
|||100|2024-10-18T00:00:00.000000+00:00|133.5||||Imported Weight:133.50 kg Loss:0.00 kg
|||100|2024-10-25T00:00:00.000000+00:00|133.5||||Imported Weight:133.50 kg Loss:0.00 kg
|||100|2024-11-01T00:00:00.000000+00:00|133.5||||Imported Weight:133.50 kg Loss:0.00 kg
|||100|2024-11-08T00:00:00.000000+00:00|133.5||||Imported Weight:133.50 kg Loss:0.00 kg
|||100|2024-11-15T00:00:00.000000+00:00|133.5||||Imported Weight:133.50 kg Loss:0.00 kg
|||100|2024-11-22T00:00:00.000000+00:00|133.5||||Imported Weight:133.50 kg Loss:0.00 kg
|||100|2024-11-29T00:00:00.000000+00:00|127.5||||Imported Weight:127.50 kg Loss:6.00 kg
|||100|2024-12-06T00:00:00.000000+00:00|127.5||||Imported Weight:127.50 kg Loss:0.00 kg
|||100|2024-12-13T00:00:00.000000+00:00|127.5||||Imported Weight:127.50 kg Loss:0.00 kg
|||100|2024-12-20T00:00:00.000000+00:00|127.5||||Imported Weight:127.50 kg Loss:0.00 kg
|||100|2024-12-27T00:00:00.000000+00:00|127.5||||Imported Weight:127.50 kg Loss:0.00 kg
|||100|2025-01-03T00:00:00.000000+00:00|128.8||||Imported Weight:128.80 kg Loss:-1.30 kg
|||100|2025-01-10T00:00:00.000000+00:00|126.5||||Imported Weight:126.50 kg Loss:2.30 kg
|||100|2025-01-17T00:00:00.000000+00:00|125.9||||Imported Weight:125.90 kg Loss:0.60 kg
|||100|2025-01-24T00:00:00.000000+00:00|124.3||||Imported Weight:124.30 kg Loss:1.60 kg
|||100|2025-01-31T00:00:00.000000+00:00|124.3||||Imported Weight:124.30 kg Loss:0.00 kg
|||100|2025-02-07T00:00:00.000000+00:00|124.3||||Imported Weight:124.30 kg Loss:0.00 kg
|||100|2025-02-14T00:00:00.000000+00:00|124.3||||Imported Weight:124.30 kg Loss:0.00 kg
|||100|2025-02-21T00:00:00.000000+00:00|124.3||||Imported Weight:124.30 kg Loss:0.00 kg
|||100|2025-02-28T00:00:00.000000+00:00|124.3||||Imported Weight:124.30 kg Loss:0.00 kg
|||100|2025-03-07T00:00:00.000000+00:00|124.3||||Imported Weight:124.30 kg Loss:0.00 kg
|||100|2025-03-14T00:00:00.000000+00:00|124.3||||Imported Weight:124.30 kg Loss:0.00 kg
|||100|2025-03-21T00:00:00.000000+00:00|123.8||||Imported Weight:123.80 kg Loss:0.50 kg
|||100|2025-03-28T00:00:00.000000+00:00|123.6||||Imported Weight:123.60 kg Loss:0.20 kg
|||100|2025-04-04T00:00:00.000000+00:00|122.6||||Imported Weight:122.60 kg Loss:1.00 kg
|||100|2025-04-11T00:00:00.000000+00:00|121.6||||Imported Weight:121.60 kg Loss:1.00 kg
|||100|2025-04-18T00:00:00.000000+00:00|120.06||||Imported Weight:120.06 kg Loss:1.54 kg
|||100|2025-04-25T00:00:00.000000+00:00|120||||Imported Weight:120.00 kg Loss:0.06 kg
|||100|2025-05-02T00:00:00.000000+00:00|120||||Imported Weight:120.00 kg Loss:0.00 kg
|||100|2025-05-09T00:00:00.000000+00:00|120||||Imported Weight:120.00 kg Loss:0.00 kg
|||100|2025-05-16T00:00:00.000000+00:00|119.05||||Imported Weight:119.05 kg Loss:0.95 kg
|||100|2025-05-23T00:00:00.000000+00:00|118||||Imported Weight:118.00 kg Loss:1.05 kg
|||100|2025-05-30T00:00:00.000000+00:00|117||||Imported Weight:117.00 kg Loss:1.00 kg
|||100|2025-06-06T00:00:00.000000+00:00|116||||Imported Weight:116.00 kg Loss:1.00 kg
|||100|2025-06-13T00:00:00.000000+00:00|115||||Imported Weight:115.00 kg Loss:1.00 kg
|||100|2025-06-20T00:00:00.000000+00:00|115||||Imported Weight:115.00 kg Loss:0.00 kg
|||100|2025-08-21T00:00:00.000000+00:00|114||||Imported Weight:114.00 kg Loss:1.00 kg
